city,buffer,water_area_km2,radiance_mean_relative,radiance_p90_relative,bottom_light_mean_relative,habitat_proxy_mean,fauna_proxy_mean,risk_index_mean,high_risk_area_km2
Florianopolis,0-1 km,542.250729,0.062455,0.128431,0.059592,0.794627,0.467153,0.048629,9.644103
Florianopolis,1-5 km,709.362292,0.013536,0.029412,0.010177,0.652821,0.426079,0.005868,0.000000
Florianopolis,5-10 km,65.039277,0.007262,0.009804,0.003781,0.400373,0.352957,0.001035,0.000000
Balneario Camboriu,0-1 km,357.671309,0.087428,0.189216,0.084591,0.804345,0.458528,0.071346,14.176226
Balneario Camboriu,1-5 km,653.594971,0.013695,0.028431,0.009855,0.630180,0.409309,0.005255,0.000000
Balneario Camboriu,5-10 km,201.164508,0.006416,0.009804,0.003252,0.340708,0.327504,0.000747,0.000000
Balneario Camboriu,10-30 km,10.593224,0.004585,0.005882,0.002184,0.105393,0.261003,0.000116,0.000000
Itajai,0-1 km,481.983018,0.062452,0.110784,0.060274,0.803820,0.368010,0.040385,11.250973
Itajai,1-5 km,478.091335,0.014528,0.030392,0.010655,0.634204,0.329526,0.004673,0.000000
Itajai,5-10 km,147.105026,0.006696,0.009804,0.003401,0.352597,0.265633,0.000636,0.000000
